Element	2
x	y
0.99747	-0.08607	0.62930
0.99649	-0.08545	0.01379
0.99484	-0.08440	0.18226
0.99297	-0.08321	0.15820
0.99091	-0.08189	0.13292
0.98871	-0.08044	0.09033
0.98640	-0.07889	0.02483
0.98401	-0.07730	-0.04721
0.98158	-0.07572	-0.10346
0.97908	-0.07415	-0.14073
0.97651	-0.07258	-0.17378
0.97388	-0.07101	-0.20479
0.97120	-0.06944	-0.23589
0.96849	-0.06788	-0.26796
0.96575	-0.06633	-0.29697
0.96300	-0.06479	-0.32794
0.96022	-0.06327	-0.35628
0.95743	-0.06178	-0.38291
0.95462	-0.06030	-0.40768
0.95179	-0.05883	-0.42937
0.94893	-0.05738	-0.44843
0.94604	-0.05593	-0.46993
0.94313	-0.05450	-0.48974
0.94021	-0.05308	-0.51281
0.93728	-0.05167	-0.53589
0.93435	-0.05028	-0.56092
0.93142	-0.04891	-0.58296
0.92848	-0.04756	-0.60503
0.92554	-0.04623	-0.62627
0.92258	-0.04492	-0.64652
0.91962	-0.04362	-0.66637
0.91665	-0.04234	-0.68662
0.91367	-0.04108	-0.70625
0.91069	-0.03984	-0.72823
0.90771	-0.03862	-0.74781
0.90473	-0.03742	-0.76880
0.90175	-0.03624	-0.78831
0.89876	-0.03509	-0.80594
0.89578	-0.03396	-0.82439
0.89278	-0.03285	-0.83972
0.88978	-0.03176	-0.85517
0.88677	-0.03070	-0.86979
0.88376	-0.02965	-0.88383
0.88074	-0.02863	-0.89452
0.87771	-0.02763	-0.90743
0.87468	-0.02665	-0.91776
0.87164	-0.02570	-0.92821
0.86858	-0.02476	-0.93729
0.86552	-0.02384	-0.94528
0.86246	-0.02295	-0.95324
0.85938	-0.02207	-0.95901
0.85631	-0.02122	-0.96891
0.85323	-0.02039	-0.97454
0.85015	-0.01958	-0.98462
0.84708	-0.01880	-0.99385
0.84402	-0.01804	-1.00091
0.84098	-0.01731	-1.00872
0.83794	-0.01662	-1.01464
0.83491	-0.01595	-1.01604
0.83189	-0.01532	-1.01853
0.82889	-0.01472	-1.01958
0.82589	-0.01415	-1.01230
0.82289	-0.01362	-1.00345
0.81990	-0.01312	-0.99396
0.81691	-0.01266	-0.97446
0.81392	-0.01223	-0.95753
0.81093	-0.01184	-0.93122
0.80794	-0.01147	-0.90742
0.80496	-0.01115	-0.87898
0.80200	-0.01086	-0.85179
0.79905	-0.01060	-0.81737
0.79611	-0.01039	-0.78047
0.79320	-0.01021	-0.74090
0.79030	-0.01008	-0.69492
0.78742	-0.00999	-0.64923
0.78456	-0.00994	-0.59765
0.78172	-0.00994	-0.54590
0.77889	-0.00997	-0.49635
0.77611	-0.01004	-0.44424
0.77332	-0.01015	-0.39295
0.77057	-0.01029	-0.35226
0.76789	-0.01045	-0.32054
0.76530	-0.01065	-0.29438
0.76286	-0.01088	-0.27552
0.76057	-0.01113	-0.26403
0.75847	-0.01141	-0.25918
0.75654	-0.01170	-0.25654
0.75480	-0.01201	-0.25783
0.75322	-0.01234	-0.25622
0.75178	-0.01269	-0.25291
0.75049	-0.01304	-0.24931
0.74930	-0.01340	-0.24457
0.74824	-0.01377	-0.23825
0.74726	-0.01414	-0.22799
0.74638	-0.01451	-0.21812
0.74558	-0.01488	-0.20555
0.74484	-0.01525	-0.18773
0.74417	-0.01562	-0.17171
0.74356	-0.01599	-0.15375
0.74299	-0.01636	-0.13274
0.74248	-0.01673	-0.11448
0.74200	-0.01710	-0.09266
0.74156	-0.01747	-0.08181
0.74117	-0.01784	-0.02442
0.74082	-0.01823	0.05847
0.74050	-0.01860	0.11468
0.74021	-0.01897	0.14891
0.73995	-0.01934	0.19561
0.73972	-0.01972	0.26379
0.73953	-0.02009	0.34046
0.73936	-0.02045	0.40725
0.73921	-0.02082	0.47161
0.73910	-0.02117	0.53623
0.73901	-0.02153	0.60666
0.73895	-0.02190	0.68289
0.73893	-0.02227	0.75749
0.73893	-0.02264	0.82873
0.73898	-0.02302	0.89322
0.73906	-0.02340	0.94338
0.73917	-0.02379	0.97680
0.73931	-0.02417	0.99524
0.73948	-0.02454	0.99955
0.73969	-0.02489	0.98595
0.73996	-0.02521	0.95641
0.74030	-0.02550	0.92207
0.74068	-0.02575	0.88949
