Name = NLR7301 Flapped
Mach = 0; Re = 2510000; T.U. = 0.05; T.L. = 0.05
Surface Finish = 0; Stall model = 0; Transition model = 8; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
0.0	1.762	0.02735	-0.456	0.891	0.891	1.196	1.201	64.418	0.293	0.509
1.0	1.883	0.02819	-0.461	0.891	0.891	1.195	1.201	66.812	0.293	0.495
2.0	1.998	0.03042	-0.466	0.891	0.891	1.194	1.201	65.679	0.294	0.483
3.0	2.105	0.03235	-0.471	0.891	0.891	1.194	1.201	65.050	0.294	0.474
4.0	2.202	0.03335	-0.475	0.891	0.891	1.193	1.201	66.028	0.296	0.466
5.0	2.289	0.03494	-0.480	0.891	0.891	1.192	1.201	65.518	0.329	0.459
6.0	2.365	0.03014	-0.488	0.891	0.891	1.192	1.201	78.476	0.336	0.456
7.0	2.429	0.03140	-0.491	0.891	0.891	1.191	1.201	77.344	0.236	0.452
8.0	2.415	0.04124	-0.488	0.891	0.891	1.191	1.201	58.547	0.458	0.452
9.0	2.192	0.06880	-0.442	0.891	0.891	1.191	1.201	31.859	0.482	0.452
10.0	2.196	0.08039	-0.437	0.891	0.891	1.190	1.201	27.315	-0.778	0.449
11.0	2.200	0.09169	-0.434	0.892	0.892	1.190	1.201	23.990	-1.430	0.447
12.0	2.198	0.10389	-0.433	0.892	0.892	1.189	1.201	21.156	0.431	0.447
13.0	2.189	0.11735	-0.432	0.892	0.892	1.189	1.201	18.653	0.309	0.448
14.0	2.172	0.13191	-0.432	0.892	0.892	1.189	1.201	16.466	0.281	0.449
15.0	2.148	0.14664	-0.431	0.892	0.892	1.188	1.201	14.648	0.275	0.451
16.0	2.118	0.16511	-0.430	0.892	0.892	1.188	1.201	12.826	0.278	0.453

