v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[W]	[N]	[Nm]
0.000	0.000	0.153641	0.069583	0.000054	9.999999	9.999999	0.01	0.00	16.00 !	0.00	5006	52.17	5.435	0.09951
0.050	0.016	0.159282	0.057092	0.088645	9.999999	9.999999	13.95	14.22	41.00 !	1.06	5006	42.80	5.635	0.08165
0.100	0.032	0.131095	0.069978	0.170219	9.999999	9.999999	18.73	28.65	7.00 !	2.12	5006	52.46	4.638	0.10008
0.150	0.048	0.125139	0.069579	0.255621	9.999999	9.999999	26.98	40.21	4.00 !	3.18	5006	52.17	4.427	0.09951
0.200	0.064	0.118098	0.068537	0.341857	7.518322	9.999999	34.46	50.26	0.00 !	4.24	5006	51.38	4.178	0.09802
0.250	0.080	0.109445	0.066370	0.430077	4.459171	9.999999	41.23	59.10	0.00	5.30	5006	49.76	3.872	0.09492
0.300	0.095	0.101181	0.064182	0.519563	2.862847	6.053278	47.29	66.56	0.00	6.36	5006	48.12	3.580	0.09179
0.350	0.111	0.092210	0.061351	0.611650	1.916820	3.643850	52.60	72.98	0.00	7.42	5006	46.00	3.262	0.08774
0.400	0.127	0.082752	0.057881	0.707216	1.317040	2.303026	57.19	78.45	0.00	8.48	5006	43.40	2.928	0.08278
0.450	0.143	0.072767	0.053729	0.807552	0.915054	1.501458	60.94	83.11	0.00	9.54	5006	40.28	2.574	0.07684
0.500	0.159	0.062301	0.048825	0.914622	0.634596	0.994655	63.80	87.07	0.00	10.60	5006	36.61	2.204	0.06983
0.550	0.175	0.051462	0.043175	1.031137	0.433214	0.660820	65.56	90.42	0.00	11.66	5006	32.37	1.821	0.06175
0.600	0.191	0.040184	0.036690	1.162095	0.284244	0.432549	65.71	93.27	0.00	12.72	5006	27.51	1.422	0.05247
0.650	0.207	0.028693	0.029463	1.315398	0.172940	0.273200	63.30	95.66	0.00	13.77	5006	22.09	1.015	0.04214
0.660	0.210	0.026366	0.027924	1.350046	0.154134	0.247335	62.32	96.09	0.00	13.99	5006	20.94	0.933	0.03994
0.670	0.213	0.024029	0.026353	1.386463	0.136312	0.223125	61.09	96.51	0.00	14.20	5006	19.76	0.850	0.03769
0.680	0.216	0.021677	0.024746	1.424975	0.119379	0.200411	59.57	96.91	0.00	14.41	5006	18.55	0.767	0.03539
0.690	0.220	0.019240	0.023124	1.465676	0.102906	0.179245	57.41	97.31	2.00	14.62	5006	17.34	0.681	0.03307
0.700	0.223	0.016844	0.021438	1.509592	0.087536	0.159162	55.00	97.69	2.00	14.83	5006	16.07	0.596	0.03066
0.710	0.226	0.014435	0.019718	1.556995	0.072918	0.140288	51.98	98.06	2.00	15.05	5006	14.78	0.511	0.02820
0.720	0.229	0.012007	0.017957	1.608735	0.058981	0.122513	48.14	98.41	2.00	15.26	5006	13.46	0.425	0.02568
0.730	0.232	0.009562	0.016158	1.665893	0.045693	0.105767	43.20	98.76	2.00	15.47	5006	12.11	0.338	0.02311
0.740	0.236	0.007107	0.014324	1.729901	0.033049	0.090011	36.72	99.10	2.00	15.68	5006	10.74	0.251	0.02049
0.750	0.239	0.004640	0.012454	1.803026	0.021005	0.075171	27.94	99.42	2.00	15.89	5006	9.34	0.164	0.01781
0.760	0.242	0.002170	0.010554	1.888541	0.009565	0.061226	15.62	99.73	2.00	16.11	5006	7.91	0.077	0.01509
0.770	0.245	-0.000353	0.008586	1.994026	-0.001516	0.047892	0.00	99.99	2.00	16.32	5006	6.44	-0.012	0.01228
0.780	0.248	-0.002882	0.006585	2.130039	-0.012063	0.035334	0.00	99.99	2.00	16.53	5006	4.94	-0.102	0.00942
0.790	0.251	-0.005444	0.004528	2.325136	-0.022213	0.023386	0.00	99.99	2.00	16.74	5006	3.39	-0.193	0.00648
0.800	0.255	-0.008050	0.002407	2.671851	-0.032031	0.011969	0.00	99.99	2.00	16.95	5006	1.80	-0.285	0.00344
0.810	0.258	-0.010603	0.000300	4.103070	-0.041153	0.001437	0.00	99.99	2.00	17.17	5006	0.22	-0.375	0.00043
0.820	0.261	-0.013165	-0.001844	2.888536	-0.049859	-0.008515	0.85	55.46	2.00	17.38	5006	-1.38	-0.466	-0.00264

