Propeller APC 9x6
v/(nD) = 0.600	v/(ΩR) = 0.191	Ω*R/v = 5.236
CT = 0.04019	TC = 0.28427	CS = 1.16206
CP = 0.03669	PC = 0.43259	η = 0.65714
v = 12.7 m/s	n = 5006 1/min	T = 1.4 N	P = 27.5 W	ρ = 1.221 kg/m³
power usage:	axial momentum	70.2%	swirl momentum	1.7%	losses	28%
[-]	[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[°]	[°]	[-]	[-]	[-]	[-]	[-]	[-]	[Pa]
r_R	α	Cl	Cd	L/D	Re	Ma	a	a'	Cx	Cy	dCT/d(r/R)	dCP/d(r/R)	η	δ	δff	D_Vax_V	ΔVtan/V	CQx	CMx	CQy	CMy	ΔPt
0.100	-20.6	-1.035	0.29267	-3.53	13358	0.041	-0.09468	-0.15442	-0.69799	-0.81773	-0.00968	-0.00260	3.06	-10.1	-10.7	-0.0945	-0.1615	0.00888	0.00244	0.02009	0.00582	-15
0.150	-10.7	-0.693	0.02261	-30.64	17086	0.047	-0.05247	-0.07058	-0.50335	-0.47675	-0.00840	-0.00418	4.93	-6.6	-6.8	-0.0523	-0.1104	0.00909	0.00222	0.02034	0.00531	-9
0.200	-3.9	0.007	0.02115	0.31	21281	0.054	-0.00027	0.00053	0.01988	-0.00981	-0.00025	0.00031	0.00	0.1	0.1	-0.0003	0.0011	0.00931	0.00198	0.02055	0.00479	-0
0.250	-1.6	0.261	0.02643	9.87	28342	0.061	0.02506	0.01868	0.18335	0.18746	0.00711	0.00546	78.11	2.7	2.7	0.0247	0.0482	0.00930	0.00175	0.02055	0.00428	5
0.300	-0.6	0.374	0.02966	12.63	36123	0.069	0.04628	0.02364	0.23548	0.29264	0.01598	0.01212	79.11	4.0	3.9	0.0454	0.0728	0.00912	0.00152	0.02037	0.00377	10
0.350	-0.0	0.437	0.03169	13.80	44389	0.078	0.06646	0.02527	0.25132	0.35923	0.02701	0.02078	78.00	4.8	4.7	0.0647	0.0902	0.00880	0.00130	0.01997	0.00327	14
0.400	0.1	0.454	0.03225	14.07	52912	0.086	0.08206	0.02438	0.24087	0.38580	0.03844	0.03016	76.47	5.2	5.0	0.0792	0.0985	0.00833	0.00109	0.01930	0.00279	17
0.450	-0.1	0.430	0.03146	13.68	61454	0.095	0.09032	0.02171	0.21255	0.37562	0.04792	0.03834	75.00	5.1	5.0	0.0862	0.0976	0.00773	0.00090	0.01834	0.00233	19
0.500	-0.3	0.401	0.03051	13.16	69451	0.104	0.09637	0.01916	0.18571	0.35710	0.05638	0.04606	73.45	5.0	4.8	0.0908	0.0945	0.00705	0.00072	0.01714	0.00190	20
0.550	-0.6	0.378	0.02976	12.69	76228	0.113	0.10124	0.01698	0.16473	0.34123	0.06433	0.05366	71.93	4.7	4.6	0.0937	0.0906	0.00632	0.00057	0.01573	0.00151	20
0.600	-0.8	0.353	0.02901	12.18	82449	0.123	0.10471	0.01510	0.14617	0.32295	0.07122	0.06077	70.33	4.5	4.3	0.0948	0.0859	0.00554	0.00043	0.01412	0.00116	20
0.650	-1.0	0.329	0.02831	11.63	86770	0.132	0.10588	0.01331	0.12993	0.30388	0.07590	0.06627	68.72	4.2	4.0	0.0931	0.0797	0.00473	0.00031	0.01234	0.00085	20
0.700	-1.2	0.307	0.02767	11.09	89596	0.142	0.10610	0.01179	0.11616	0.28548	0.07886	0.07057	67.05	3.8	3.7	0.0898	0.0732	0.00392	0.00021	0.01044	0.00059	19
0.750	-1.4	0.288	0.02715	10.61	89777	0.151	0.10700	0.01055	0.10511	0.26965	0.07965	0.07315	65.33	3.5	3.4	0.0861	0.0666	0.00312	0.00013	0.00847	0.00037	18
0.800	-1.5	0.272	0.02672	10.18	86879	0.160	0.10533	0.00934	0.09583	0.25587	0.07773	0.07316	63.74	3.1	3.0	0.0790	0.0587	0.00235	0.00008	0.00648	0.00021	17
0.850	-1.7	0.251	0.02617	9.59	81477	0.170	0.10151	0.00821	0.08615	0.23713	0.07157	0.06943	61.85	2.7	2.6	0.0688	0.0495	0.00162	0.00003	0.00454	0.00010	14
0.900	-1.8	0.237	0.02583	9.19	72243	0.180	0.10032	0.00745	0.07949	0.22518	0.06364	0.06352	60.11	2.2	2.2	0.0579	0.0405	0.00097	0.00001	0.00275	0.00003	12
0.950	-2.1	0.208	0.02512	8.29	54279	0.189	0.08991	0.00628	0.06934	0.19790	0.04427	0.04629	57.37	1.5	1.5	0.0384	0.0267	0.00041	0.00000	0.00116	0.00000	8
1.000	-2.4	0.179	0.02444	7.32	32935	0.199	0.07950	0.00512	0.05919	0.17062	0.00206	0.01058	11.67	0.8	0.8	0.0016	0.0051	0.00002	0.00000	0.00005	0.00000	0

